sentence_id,tokens,clauses,dep_clauses,coord,complex_nominals,doc
1,14,1,0,1,1,pre_09_brennan_undermine_election.txt (pre)
2,22,1,0,2,3,pre_09_brennan_undermine_election.txt (pre)
3,8,1,0,0,2,pre_09_brennan_undermine_election.txt (pre)
4,4,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
5,21,2,1,1,4,pre_09_brennan_undermine_election.txt (pre)
6,13,3,1,0,3,pre_09_brennan_undermine_election.txt (pre)
7,10,1,0,1,1,pre_09_brennan_undermine_election.txt (pre)
8,18,3,1,0,2,pre_09_brennan_undermine_election.txt (pre)
9,22,1,0,3,6,pre_09_brennan_undermine_election.txt (pre)
10,8,2,0,0,2,pre_09_brennan_undermine_election.txt (pre)
11,13,2,0,0,1,pre_09_brennan_undermine_election.txt (pre)
12,19,2,1,0,4,pre_09_brennan_undermine_election.txt (pre)
13,3,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
14,54,11,5,6,9,pre_09_brennan_undermine_election.txt (pre)
15,10,3,1,0,1,pre_09_brennan_undermine_election.txt (pre)
16,12,2,1,0,1,pre_09_brennan_undermine_election.txt (pre)
17,23,5,3,1,4,pre_09_brennan_undermine_election.txt (pre)
18,7,1,0,1,1,pre_09_brennan_undermine_election.txt (pre)
19,23,3,0,1,3,pre_09_brennan_undermine_election.txt (pre)
20,12,1,0,0,4,pre_09_brennan_undermine_election.txt (pre)
21,10,2,0,1,1,pre_09_brennan_undermine_election.txt (pre)
22,20,3,1,0,5,pre_09_brennan_undermine_election.txt (pre)
23,27,5,2,4,1,pre_09_brennan_undermine_election.txt (pre)
24,17,4,1,1,2,pre_09_brennan_undermine_election.txt (pre)
25,29,6,3,1,7,pre_09_brennan_undermine_election.txt (pre)
26,14,3,1,1,3,pre_09_brennan_undermine_election.txt (pre)
27,11,2,0,0,3,pre_09_brennan_undermine_election.txt (pre)
28,28,5,1,2,7,pre_09_brennan_undermine_election.txt (pre)
29,28,4,1,1,5,pre_09_brennan_undermine_election.txt (pre)
30,11,2,0,0,1,pre_09_brennan_undermine_election.txt (pre)
31,53,10,8,1,12,pre_09_brennan_undermine_election.txt (pre)
32,47,9,4,1,9,pre_09_brennan_undermine_election.txt (pre)
33,15,2,1,1,2,pre_09_brennan_undermine_election.txt (pre)
34,25,7,1,3,3,pre_09_brennan_undermine_election.txt (pre)
35,32,3,1,2,3,pre_09_brennan_undermine_election.txt (pre)
36,9,4,1,0,1,pre_09_brennan_undermine_election.txt (pre)
37,13,2,1,0,1,pre_09_brennan_undermine_election.txt (pre)
38,32,3,2,1,8,pre_09_brennan_undermine_election.txt (pre)
39,4,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
40,27,6,3,1,3,pre_09_brennan_undermine_election.txt (pre)
41,25,3,1,1,5,pre_09_brennan_undermine_election.txt (pre)
42,38,3,2,2,14,pre_09_brennan_undermine_election.txt (pre)
43,21,4,0,1,3,pre_09_brennan_undermine_election.txt (pre)
44,17,3,0,1,9,pre_09_brennan_undermine_election.txt (pre)
45,15,4,1,0,3,pre_09_brennan_undermine_election.txt (pre)
46,40,7,4,1,10,pre_09_brennan_undermine_election.txt (pre)
47,9,2,0,0,1,pre_09_brennan_undermine_election.txt (pre)
48,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
49,30,7,5,1,6,pre_09_brennan_undermine_election.txt (pre)
50,41,7,0,0,6,pre_09_brennan_undermine_election.txt (pre)
51,29,4,2,1,4,pre_09_brennan_undermine_election.txt (pre)
52,5,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
53,20,3,1,1,2,pre_09_brennan_undermine_election.txt (pre)
54,21,1,0,0,5,pre_09_brennan_undermine_election.txt (pre)
55,36,4,2,2,7,pre_09_brennan_undermine_election.txt (pre)
56,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
57,11,2,0,0,0,pre_09_brennan_undermine_election.txt (pre)
58,34,8,6,1,4,pre_09_brennan_undermine_election.txt (pre)
59,32,8,2,0,4,pre_09_brennan_undermine_election.txt (pre)
60,4,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
61,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
62,28,3,1,2,5,pre_09_brennan_undermine_election.txt (pre)
63,15,2,2,0,1,pre_09_brennan_undermine_election.txt (pre)
64,24,6,1,0,4,pre_09_brennan_undermine_election.txt (pre)
65,5,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
66,16,4,1,0,3,pre_09_brennan_undermine_election.txt (pre)
67,26,4,2,0,4,pre_09_brennan_undermine_election.txt (pre)
68,31,4,2,2,9,pre_09_brennan_undermine_election.txt (pre)
69,10,2,0,0,1,pre_09_brennan_undermine_election.txt (pre)
70,30,5,1,1,6,pre_09_brennan_undermine_election.txt (pre)
71,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
72,17,4,2,1,3,pre_09_brennan_undermine_election.txt (pre)
73,5,1,0,0,0,pre_09_brennan_undermine_election.txt (pre)
74,47,9,2,2,10,pre_09_brennan_undermine_election.txt (pre)
75,2,0,0,0,0,pre_09_brennan_undermine_election.txt (pre)
76,35,7,3,2,9,pre_09_brennan_undermine_election.txt (pre)
